CLIENTNUM,Churn,churn_probability,risk_band
768805383,0,0.0,Low
818770008,0,0.0,Low
713982108,0,0.0,Low
769911858,0,0.0,Low
709106358,0,0.79,High
713061558,0,0.0002,Low
810347208,0,0.0,Low
818906208,0,0.0001,Low
710930508,0,0.0,Low
719661558,0,0.0,Low
708790833,0,0.0,Low
710821833,0,0.0,Low
710599683,0,0.0,Low
816082233,0,0.0,Low
712396908,0,0.0,Low
714885258,0,0.0,Low
709967358,0,0.0,Low
753327333,0,0.0,Low
806160108,0,0.0107,Low
709327383,0,0.0,Low
806165208,0,0.0,Low
708508758,1,1.0,Very High
784725333,0,0.0,Low
811604133,0,0.0002,Low
789124683,0,0.0059,Low
771071958,0,0.0001,Low
720466383,0,0.0,Low
804424383,0,0.0,Low
718813833,0,0.0001,Low
806624208,0,0.0,Low
778348233,0,0.0012,Low
712991808,0,0.0001,Low
709029408,0,0.0,Low
788658483,0,0.0,Low
787937058,0,0.0,Low
715318008,0,0.0,Low
713962233,0,0.0,Low
785432733,0,0.9982,Very High
715190283,0,0.0004,Low
708300483,1,1.0,Very High
827111283,0,0.9982,Very High
758551608,0,0.0,Low
773146383,0,0.0,Low
778493808,0,0.0,Low
720572508,0,0.3124,Medium
712661433,0,0.0001,Low
789172683,0,0.0,Low
738406533,0,0.0,Low
799723908,0,0.0,Low
771490833,0,0.0,Low
720756708,0,0.0,Low
779471883,1,0.9996,Very High
711525033,0,0.0,Low
712813458,0,0.0004,Low
714374133,1,1.0,Very High
717891558,0,0.0005,Low
716632758,0,0.0423,Low
768563658,0,0.0,Low
711427458,0,0.0,Low
714091983,0,0.0,Low
787584108,0,0.0,Low
712030833,1,1.0,Very High
711481533,0,0.0,Low
710082708,0,0.0252,Low
708155733,0,0.0,Low
788979258,0,0.0005,Low
807986133,0,0.0,Low
788730933,0,0.036,Low
711314058,0,0.0001,Low
717975333,0,0.9614,Very High
715971108,0,0.0,Low
720096558,0,0.0,Low
719580033,0,0.0,Low
820582308,0,0.0003,Low
789973308,0,0.0,Low
712876233,0,0.0,Low
804595158,0,0.0001,Low
714826758,0,0.0,Low
779058108,0,0.0,Low
710790258,0,0.0,Low
715623483,0,0.0,Low
715156383,0,0.0,Low
711013983,1,1.0,Very High
755420433,0,0.0211,Low
794543958,0,0.0,Low
716396358,0,0.0,Low
715398033,0,0.0,Low
711743883,0,0.0083,Low
719720058,0,0.0,Low
778992108,0,0.0,Low
717539808,0,0.0001,Low
714070758,0,0.0,Low
714107958,0,0.2194,Medium
789140283,0,0.0,Low
715550508,0,0.0,Low
719712633,0,0.0,Low
772629333,0,0.0006,Low
720336708,0,0.0,Low
802013583,0,0.0,Low
711887583,1,1.0,Very High
714778833,0,0.0,Low
713843283,0,0.0,Low
779155158,0,0.0,Low
721091583,0,0.0,Low
713572683,0,0.0036,Low
716657058,0,0.9612,Very High
779509983,0,0.0002,Low
717929133,0,0.0004,Low
808284783,0,0.0089,Low
708476808,0,0.0,Low
710916408,0,0.0,Low
708492558,0,0.0002,Low
799825758,0,0.0,Low
718619883,0,0.0005,Low
711844758,0,0.0,Low
714798783,0,0.0,Low
826762908,0,0.0,Low
771894558,0,0.0,Low
721074183,0,0.0001,Low
715259583,0,0.0,Low
718414008,0,0.0014,Low
719666283,0,0.0,Low
714877233,0,0.0,Low
785387883,0,0.0006,Low
771075258,0,0.8103,Very High
711318033,0,0.0,Low
783554958,0,0.0025,Low
720201033,1,0.9971,Very High
718039683,0,0.0,Low
710806083,0,0.0,Low
714752208,0,0.2906,Medium
822063408,0,0.0,Low
714490308,0,0.0,Low
713356833,0,0.0,Low
711402333,0,0.2589,Medium
708296883,0,0.0,Low
719154483,0,0.0161,Low
717721458,0,0.0,Low
711112683,0,0.0,Low
715674483,0,0.0009,Low
789322833,1,0.9999,Very High
789968058,0,0.0001,Low
709919283,0,0.0,Low
